Assembly Code: 
Line    OP      L       M
0       JMP     0       3
1       INC     0       6
2       LIT     0       2
3       LIT     0       5
4       ADD     0       1
5       STO     0       3
6       LIT     0       2
7       LOD     0       3
8       LIT     0       3
9       SUB     0       2
10      MUL     0       3
11      STO     0       4
12      LIT     0       3
13      LOD     0       4
14      LOD     0       3
15      MUL     0       3
16      ADD     0       1
17      LIT     0       10
18      DIV     0       4
19      STO     0       5
20      SYS     0       2
21      STO     0       5
Error: expected a semicolon
22      LOD     0       4
23      LOD     0       5
24      ADD     0       1
25      ODD     0       11
26      JPC     0       90
27      LOD     0       4
28      STO     0       5
29      JMP     0       96
30      LOD     0       5
31      STO     0       4
32      LOD     0       5
33      LIT     0       3
34      LSS     0       7
35      JPC     0       123
36      LOD     0       5
37      LIT     0       1
38      ADD     0       1
39      STO     0       5
40      JMP     0       96
41      SYS     0       3
